Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.01,0.31,0.39742568133786094
75% Corpus,10,0.01,0.61,0.4117654904143862
75% Corpus,10,0.01,0.9099999999999999,0.38473704519054186
75% Corpus,10,0.01,symmetric,0.3645145444871947
75% Corpus,10,0.31,0.01,0.4046479716763531
75% Corpus,10,0.31,0.31,0.44510477362389755
75% Corpus,10,0.31,0.61,0.431394900547017
75% Corpus,10,0.31,0.9099999999999999,0.40910381161427073
75% Corpus,10,0.31,symmetric,0.4095502982662967
75% Corpus,10,0.61,0.01,0.361386324090175
75% Corpus,10,0.61,0.31,0.36255411650921254
75% Corpus,10,0.61,0.61,0.3912052892936361
75% Corpus,10,0.61,0.9099999999999999,0.3848906126684946
75% Corpus,10,0.61,symmetric,0.3567570499507155
75% Corpus,10,0.9099999999999999,0.01,0.346612452007079
75% Corpus,10,0.9099999999999999,0.31,0.34771424341188095
75% Corpus,10,0.9099999999999999,0.61,0.30611387494041453
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3214884115246794
75% Corpus,10,0.9099999999999999,symmetric,0.34538919982328004
75% Corpus,10,symmetric,0.01,0.3272717884189318
75% Corpus,10,symmetric,0.31,0.42946809482516174
75% Corpus,10,symmetric,0.61,0.45097651899677754
75% Corpus,10,symmetric,0.9099999999999999,0.4332660722571462
75% Corpus,10,symmetric,symmetric,0.36125923022652096
75% Corpus,10,asymmetric,0.01,0.36812286937352706
75% Corpus,10,asymmetric,0.31,0.4280916529533537
75% Corpus,10,asymmetric,0.61,0.4203934019288564
75% Corpus,10,asymmetric,0.9099999999999999,0.3896163546267255
75% Corpus,10,asymmetric,symmetric,0.4173623621560575
100% Corpus,2,0.01,0.01,0.260737060937652
100% Corpus,2,0.01,0.31,0.2698125899570585
100% Corpus,2,0.01,0.61,0.2633155636526133
100% Corpus,2,0.01,0.9099999999999999,0.2628102628511737
100% Corpus,2,0.01,symmetric,0.24592180294188298
100% Corpus,2,0.31,0.01,0.2624233132184473
100% Corpus,2,0.31,0.31,0.281855809885445
100% Corpus,2,0.31,0.61,0.2618075731676242
100% Corpus,2,0.31,0.9099999999999999,0.26686194799430385
100% Corpus,2,0.31,symmetric,0.26699838328020087
100% Corpus,2,0.61,0.01,0.2807756507684476
100% Corpus,2,0.61,0.31,0.2664206788199471
100% Corpus,2,0.61,0.61,0.26615004396559805
100% Corpus,2,0.61,0.9099999999999999,0.2528953089766765
100% Corpus,2,0.61,symmetric,0.2625800559522662
100% Corpus,2,0.9099999999999999,0.01,0.26698829844872746
100% Corpus,2,0.9099999999999999,0.31,0.2555012822817736
100% Corpus,2,0.9099999999999999,0.61,0.2667594178203819
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2656215021481946
100% Corpus,2,0.9099999999999999,symmetric,0.2612016343473753
100% Corpus,2,symmetric,0.01,0.28077565076844757
100% Corpus,2,symmetric,0.31,0.26384547841986794
100% Corpus,2,symmetric,0.61,0.2553717144048363
100% Corpus,2,symmetric,0.9099999999999999,0.2548086564979804
100% Corpus,2,symmetric,symmetric,0.25653232970651074
100% Corpus,2,asymmetric,0.01,0.27660579694945964
100% Corpus,2,asymmetric,0.31,0.29291648713076257
100% Corpus,2,asymmetric,0.61,0.35021604389459227
100% Corpus,2,asymmetric,0.9099999999999999,0.4863321428943962
100% Corpus,2,asymmetric,symmetric,0.31459703467763095
100% Corpus,3,0.01,0.01,0.3131595121162197
100% Corpus,3,0.01,0.31,0.24635120710017225
100% Corpus,3,0.01,0.61,0.3416431782575761
100% Corpus,3,0.01,0.9099999999999999,0.29748035744091056
100% Corpus,3,0.01,symmetric,0.23967264573843247
100% Corpus,3,0.31,0.01,0.30928174018699756
100% Corpus,3,0.31,0.31,0.2938100533187688
100% Corpus,3,0.31,0.61,0.24353060054059103
100% Corpus,3,0.31,0.9099999999999999,0.3029971093605139
